Anthology Publication Year,Anthology Type,Anthology Title,Collection Type,Source Title,Source Genre,Original Publication Year,Publication Decade,Author,Author Birth Year,Author Birth Decade,Author Gender,Anthology Section Header,Anthology Edition,Anthology Editors
1968,Special Topics - Black Literature Collection,Black Fire: An Anthology of Afro-American Writing,Chronological,Sinner Man Where You Gonna Run To?,Short Story,,0s,Larry Neal,,0s,Male,Fiction,1st Ed,Langston Hughes; Gloria Naylor
1968,Comprehensive African American Collection ,Dark Symphony: Negro Literature in America,Chronological,Brazil,Short Story,1961,1960s,Paule Marshall,1929,1920s,Male,Contemporary Literature,1st Ed,James A Emanuel
1968,Comprehensive African American Collection ,Black Voices: An Anthology of African-American Literature,Chronological,"To Da-duh, in Memoriam",Short Story,1967,1960s,Paule Marshall,1929,1920s,Male,Fiction,1st Ed,Abraham Chapman;
1968,Comprehensive African American Collection ,Dark Symphony: Negro Literature in America,Chronological,Flying Home,Short Story,1944,1940s,Ralph Ellison,1914,1910s,Male,Major Authors,1st Ed,James A Emanuel
1968,Comprehensive African American Collection ,Dark Symphony: Negro Literature in America,Chronological,Hidden Name and Complex Fate,Short Story,,0s,Ralph Ellison,1914,1910s,Male,Major Authors,1st Ed,James A Emanuel
1968,Comprehensive African American Collection ,Black Voices: An Anthology of African-American Literature,Chronological,Invisible Man - Prologue ,Short Story,,0s,Ralph Ellison,1914,1910s,Male,Fiction,1st Ed,Abraham Chapman;
1968,Comprehensive African American Collection ,Dark Symphony: Negro Literature in America,Chronological,King of the Bingo Game,Short Story,1944,1940s,Ralph Ellison,1914,1910s,Male,Major Authors,1st Ed,James A Emanuel
1968,Comprehensive African American Collection ,Dark Symphony: Negro Literature in America,Chronological,The Man Who Killed a Shadow,Short Story,1961,1960s,Richard Wright,1908,1900s,Male,Major Authors,1st Ed,James A Emanuel
1968,Comprehensive African American Collection ,Black Voices: An Anthology of African-American Literature,Chronological,The Man Who Lived Underground,Short Story,1961,1960s,Richard Wright,1908,1900s,Male,Fiction,1st Ed,Abraham Chapman;
1968,Special Topics - Black Literature Collection,Black Fire: An Anthology of Afro-American Writing,Chronological,Life with Red Top,Short Story,,0s,Ronald L. Fair,,0s,Male,Fiction,1st Ed,Langston Hughes; Gloria Naylor
1968,Comprehensive African American Collection ,Black Voices: An Anthology of African-American Literature,Chronological,Common Meter,Short Story,1930,1930s,Rudolph Fisher,1897,1890s,Male,Fiction,1st Ed,Abraham Chapman;
1968,Comprehensive African American Collection ,Dark Symphony: Negro Literature in America,Chronological,Miss Cynthie,Short Story,1933,1930s,Rudolph Fisher,1897,1890s,Male,The Negro Awakening,1st Ed,James A Emanuel
